ID,Tweet
46,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director https://t.co/NdCUUZgrfk Will Putin ""break you"" USA?  What do you say?"
47,"@CNN Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director;🤔What else can he say. Russia has already gained land &amp; people. So what is the point? What is America goals/agendas towards Russia, Ukraine, China, &amp; N. Korea/Etc🧐#All Have Agendas#🌘"
48,"Putin thinks he’ll break America’s will in Ukraine, but he’s wrong, says the CIA director https://t.co/XaxehTNPA1"
49,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director - NBC News https://t.co/ZMu2UnQuHm"
50,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director - ⁦@CIA⁩ Sweden &amp; Finland joined NATO Why not #Ukraine #UkraineInNATO will end that war. Putin isn’t stupid. He can win against every country in #NATO https://t.co/TB5ZoABd7z"
51,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director - NBC News: * Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director  NBC News
 * CIA Director: Putin 'too healthy' - POLITICO … https://t.co/Q1qtgnAvby"
52,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director https://t.co/VAwntsyCAX via @nbcnews  He's not wrong and our history proves it. The more it causes us pain the faster we will lose our will to support them.  Just ask the Kurds."
53,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director https://t.co/rJmgT24Ves putin is hoping America will re-elect an American traitor. That traitor will do anything to please his idol. Including delivering America into Russian servitude. VOTE"
54,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director https://t.co/3nuGGYtQxB It's already broken it wasn't about Ukraine it was the military–industrial complex stock value."
55,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director - NBC News.   If the trump wing of the gop wins midterms or 2024, do you think U.S will still help Ukraine, nato, ? https://t.co/fu2uRkcTO8"
56,"Putin thinks he'll break America's will in Ukraine, but he's wrong, says the CIA director. That loaded headline is an admission that Americans have no say in when they go to war or how they get out of them, only that they must pay for them and fight them.https://t.co/u27smAcXa4"
57,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/0zFIsGhrsV
58,Russia says it will ramp up operations as rockets pound Ukrainian cities - CNBC https://t.co/Fy8tgrMsWy via @GoogleNews
59,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/jCygT6oCCc
60,"CNBC: Russia says it will ramp up operations as rockets pound Ukrainian cities.
https://t.co/r6mMEG065M

via @GoogleNews"
61,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/FJQQ6auJBP
62,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/fxvQLNSeoF
63,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/jLii4p6PRu
64,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/iXHwvOX9Xa
65,Russia says it will ramp up operations as rockets pound Ukrainian cities https://t.co/nvhHXS9ZXh
66,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/2L7IsnuQf9 via @Yahoo
67,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/zcYZXzdYJG via @Yahoo
68,Russia threatens broad Ukraine offensive as U.S. presses China over war stance
69,Russia Threatens Broad Ukraine Offensive As U.S. Presses China Over War Stance - JAX GAY https://t.co/sjwROwmeTx https://t.co/WRReqcUn2F
70,Russia Threatens Broad Ukraine Offensive As U.S. Presses China Over War Stance - JAX GAY https://t.co/m9g8Ln4nAj https://t.co/8kfclNn5hI
71,Russia Threatens Broad Ukraine Offensive As U.S. Presses China Over War Stance https://t.co/uLatjuhtet
72,"#Russia #china #Biden 
https://t.co/zH7kuybddJ
Russia threatens broad Ukraine offensive as U.S. presses China over war stance 

Ding dong... Xi... Joe wants to press you on the PRC war stance... https://t.co/4divIcUjjX"
73,"Russia Threatens Broad Ukraine Offensive as U.S. Presses China Over War Stance
https://t.co/RAVQKMpsaW"
74,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/bDo6qWg0xM via @YahooNews BOYCOTT countries run by DICTATORS &amp; criminal GANGS ! china russia korea iran venezula brazil mexico canada
75,Russia threatens broad Ukraine offensive as U.S. presses China over war stance - Reuters https://t.co/J1RghVxBjW
76,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/bDo6qWg0xM via @YahooNews Ewooooo russia made threats wadda you gonna do INVADE some innocent cuntry and claim nazis ! F russia and F woke government trudy macroni and musical chairs UK
77,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/FzclnbBwoQ via @YahooNews
78,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/bDo6qWg0xM via @YahooNews Option A rule by sodomites Option B Nuclear winter. I prefer B
79,Russia threatens broad Ukraine offensive as U.S. presses China over war stance - Reuters https://t.co/REqbrKXvAQ
80,Russia threatens broad Ukraine offensive as U.S. presses China over war stance: https://t.co/E298WAdpS4 #nhpolitics
81,WRAPUP 8-Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/zZKsX56eWK
82,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/iPkOzmakxB
83,Russia threatens broad Ukraine offensive as U.S. presses China over war stance - Reuters https://t.co/gOqu4cI4Wm
84,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/oisL5efvaP
85,Russia Threatens Broad Ukraine Offensive As U.S. Presses China Over War Stance🔴🇷🇺 https://t.co/pkGc3qa6xW
86,Russia Threatens Broad Ukraine Offensive As U.S. Presses China Over War Stance https://t.co/PBhs5LZ4u5
87,Russia Threatens Broad Ukraine Offensive As U.S. Presses China Over War Stance https://t.co/psH8Net9kQ
88,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/DuSOYwIKkk
89,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/HLLMYdyD6X
90,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/tXdkvjDjVd
91,Russia threatens broad Ukraine offensive as U.S. presses China over war stance | Reuters | https://t.co/VHAmmtWekF
92,Russia threatens broad Ukraine offensive as U.S. presses China over war stance: https://t.co/lHGIOaG8rX
93,Russia threatens broad Ukraine offensive as U.S. presses China over war stance https://t.co/51vBuxgZTo
